Detuning_meV,Cq_fF,PhaseShift_deg,I_mV,Q_mV
-0.0979899497487437,0.0009651353516142387,-1.596326218415106e-05,0.9963980595091263,-2.776079424854005e-07
-0.0949748743718593,0.0010512998785825955,-1.738841662803525e-05,0.9963980595091189,-3.023919865189191e-07
-0.09195979899497486,0.0011477392685926844,-1.8983516491390588e-05,0.9963980595091102,-3.3013145392956173e-07
-0.08894472361809043,0.0012559813574217682,-2.077383205916537e-05,0.9963980595090993,-3.6126580575790934e-07
-0.08592964824120601,0.001377824180568983,-2.278910269036159e-05,0.9963980595090861,-3.9631222214973255e-07
-0.08291457286432158,0.0015153906527020757,-2.506444123157857e-05,0.9963980595090697,-4.358813304935184e-07
-0.07989949748743717,0.0016711954267348817,-2.764143983983761e-05,0.9963980595090488,-4.806964361513542e-07
-0.07688442211055274,0.0018482267675560544,-3.056952417772569e-05,0.9963980595090233,-5.316170724904467e-07
-0.07386934673366831,0.0020500468976365417,-3.3907613126647956e-05,0.9963980595089903,-5.89667864004945e-07
-0.0708542713567839,0.002280914978415979,-3.772615287495674e-05,0.9963980595089491,-6.560738999766521e-07
-0.06783919597989947,0.0025459376470238497,-4.210960679844178e-05,0.9963980595088959,-7.323040345594272e-07
-0.06482412060301504,0.0028512527468266716,-4.7159494338645864e-05,0.9963980595088279,-8.201237341700844e-07
-0.061809045226130635,0.003204252391704287,-5.2998080475701166e-05,0.9963980595087389,-9.216592389956794e-07
-0.0587939698492462,0.0036138514460808953,-5.9772816353709455e-05,0.9963980595086236,-1.0394747873641247e-06
-0.05577889447236177,0.00409080625698983,-6.766161110457222e-05,0.9963980595084712,-1.1766642950106026e-06
-0.052763819095477366,0.004648084937825294,-7.687895629430928e-05,0.9963980595082695,-1.3369578618129505e-06
-0.04974874371859296,0.005301282789543646,-8.768279696729449e-05,0.996398059508,-1.5248412621834724e-06
-0.0467336683417085,0.006069061435900123,-0.00010038179489638256,0.9963980595076383,-1.7456822560885847e-06
-0.043718592964824096,0.006973562976729894,-0.00011534217865525822,0.9963980595071493,-2.005849714730564e-06
-0.04070351758793969,0.008040703422157701,-0.00013299259700168338,0.9963980595064856,-2.3127980229536205e-06
-0.03768844221105523,0.009300172420615392,-0.00015382411436753164,0.9963980595055805,-2.6750670008136494e-06
-0.03467336683417083,0.010784846400246642,-0.0001783805042613224,0.9963980595043445,-3.1021131017055025e-06
-0.03165829145728642,0.012529149981073644,-0.00020723114716916772,0.996398059502659,-3.6038380952932576e-06
-0.028643216080402014,0.014565682094746074,-0.00024091522683798795,0.9963980595003724,-4.189618617058312e-06
-0.025628140703517554,0.016919210018065955,-0.00027984239206549556,0.9963980594973018,-4.866578634429678e-06
-0.02261306532663315,0.019597074757254543,-0.0003241340625047262,0.9963980594932492,-5.636829686994227e-06
-0.019597989949748745,0.022575455160253437,-0.0003733962381975257,0.9963980594880439,-6.49351994731945e-06
-0.016582914572864284,0.02578229409828404,-0.0004264370999409861,0.996398059481617,-7.415923170798212e-06
-0.01356783919597988,0.029080466381698106,-0.00048098860797191805,0.9963980594741184,-8.364597177951066e-06
-0.010552763819095473,0.03225876215229284,-0.0005335573679883023,0.9963980594660392,-9.27879035089018e-06
-0.007537688442211013,0.035041519886141376,-0.0005795839602451621,0.9963980594582776,-1.007921243429913e-05
-0.004522613065326609,0.037126103411604605,-0.0006140628064516261,0.9963980594520432,-1.067881428533141e-05
-0.0015075376884422028,0.03824686949778751,-0.0006326001886482743,0.9963980594485425,-1.1001187273446798e-05
0.0015075376884422028,0.03824686949778751,-0.0006326001886482743,0.9963980594485425,-1.1001187273446798e-05
0.0045226130653266625,0.037126103411606645,-0.0006140628064566004,0.9963980594520434,-1.0678814285417918e-05
0.007537688442211068,0.0350415198861407,-0.0005795839602451621,0.9963980594582776,-1.007921243429913e-05
0.010552763819095473,0.03225876215229284,-0.0005335573679883023,0.9963980594660392,-9.27879035089018e-06
0.013567839195979934,0.029080466381698106,-0.00048098860797191805,0.9963980594741184,-8.364597177951066e-06
0.01658291457286434,0.02578229409828404,-0.0004264370999409861,0.996398059481617,-7.415923170798212e-06
0.019597989949748745,0.022575455160253437,-0.0003733962381975257,0.9963980594880439,-6.49351994731945e-06
0.022613065326633205,0.019597074757254543,-0.0003241340625047262,0.9963980594932492,-5.636829686994227e-06
0.02562814070351761,0.016919210018065955,-0.00027984239206549556,0.9963980594973018,-4.866578634429678e-06
0.028643216080402014,0.014565682094746074,-0.00024091522683798795,0.9963980595003724,-4.189618617058312e-06
0.03165829145728648,0.012529149981076357,-0.00020723114716916772,0.996398059502659,-3.6038380952932576e-06
